,Bmean
1.3320.230,-4.134558310376492
1.3320.135,-4.91229754322111
1.3320.60,-5.366603188662533
1.3320.292,-3.983845588235294
1.3320.391,-3.4683419155509787
1.3320.151,-5.1647090747330955
1.3320.311,-4.4387585568917665
1.3320.322,-4.150169708029197
1.3320.379,-4.0278782924613985
1.3320.103,-5.294711743772242
1.3320.165,-4.4201901608325445
1.3320.430,-2.57118691588785
1.3320.25,-7.142589539007092
1.3320.314,-3.755633147113594
1.3320.141,-5.306684400360686
1.3320.148,-3.719915789473684
1.3320.274,-3.821869330453564
1.3320.27,-6.0134541326067215
1.3320.87,-5.420602344454464
1.3320.444,-3.6047022471910113
1.3320.375,-4.104344444444444
1.3320.180,-4.31418256880734
1.3320.73,-5.196853593611357
1.3320.194,-3.8196551724137935
1.3320.300,-3.710777672658468
1.3320.56,-5.451700440528635
1.3320.115,-4.949792975970425
1.3320.157,-5.018112767940353
1.3320.303,-3.950469387755102
1.3320.436,-3.341707920792079
1.3320.506,-3.292366634335597
1.3320.486,-3.0004678899082573
1.3320.336,-3.5575824493731916
1.3320.206,-4.623303360581289
1.3320.369,-4.016087941976429
1.3320.168,-4.266676284941388
1.3320.89,-5.963522482014389
1.3320.83,-5.233983200707339
1.3320.390,-3.0609399999999996
1.3320.294,-4.086484191508582
1.3320.362,-3.576733746130031
1.3320.189,-4.397315454545455
1.3320.400,-3.842256769374417
1.3320.343,-3.896538748832867
1.3320.473,-3.3391442516268977
1.3320.374,-3.670567901234568
1.3320.420,-3.3324528985507245
1.3320.20,-5.906159926470588
1.3320.136,-5.455733393177738
1.3320.129,-4.804443252904378
1.3320.403,-3.4046379690949227
1.3320.150,-4.678327956989247
1.3320.304,-4.0294788990825685
1.3320.384,-3.4941857749469216
1.3320.137,-4.816617777777777
1.3320.396,-3.4324990234375
1.3320.18,-6.388239039665971
1.3320.46,-5.54206921675774
1.3320.320,-3.4125435185185187
1.3320.170,-5.132837522441651
1.3320.116,-5.147218634686347
1.3320.61,-5.383296523517382
1.3320.253,-4.333484489051095
1.3320.382,-3.8875681601525263
1.3320.90,-5.678863716814159
1.3320.76,-5.168301587301587
1.3320.22,-6.332885407341092
1.3320.457,-3.2975999999999996
1.3320.313,-3.510050916496945
1.3320.214,-4.334168198529412
1.3320.419,-3.530081632653061
1.3320.197,-4.627588929219601
1.3320.269,-4.109793507664563
1.3320.152,-4.465328209764919
1.3320.119,-5.58415702479339
1.3320.246,-4.105757932910245
1.3320.407,-3.369778517110266
1.3320.425,-3.4946729810568296
1.3320.433,-3.5928495762711865
1.3320.203,-4.561799819657349
1.3320.489,-3.32234052532833
1.3320.331,-2.544142653352354
1.3320.355,-3.629785714285714
1.3320.474,-3.4867362948960303
1.3320.12,-6.733619841966637
1.3320.213,-4.413628384687208
1.3320.417,-3.490989573459715
1.3320.356,-3.9903604014598537
1.3320.319,-4.099068681318681
1.3320.104,-5.690364695340502
1.3320.485,-3.1201958456973293
1.3320.467,-3.4959735849056606
1.3320.265,-3.6793363095238094
1.3320.288,-4.018796451914099
1.3320.72,-5.223724910394265
1.3320.393,-3.634475210477081
1.3320.51,-6.1574514991181655
1.3320.385,-3.226567078972407
1.3320.238,-4.221100832562442
1.3320.318,-4.0692190650779105
1.3320.94,-5.151387900355871
1.3320.48,-6.343354553492485
1.3320.264,-4.5084558823529415
1.3320.88,-5.5033153488372095
1.3320.429,-3.8498265682656823
1.3320.171,-5.039741472172352
1.3320.244,-4.3219918107370345
1.3320.112,-4.974568733153639
1.3320.266,-3.9734226135310475
1.3320.237,-4.1358001968503935
1.3320.345,-3.9586177818515123
1.3320.459,-2.734204690831557
1.3320.387,-3.755403525046382
1.3320.208,-4.464064663023679
1.3320.158,-5.195866184448463
1.3320.270,-4.406449490268766
1.3320.388,-3.8241034807149576
1.3320.259,-4.429693726937269
1.3320.263,-4.319942238267148
1.3320.339,-4.130317096466094
1.3320.252,-4.262550592525068
1.3320.285,-3.988931290622098
1.3320.460,-3.224710059171598
