,Bmean
1.3320.198,-4.789229623137599
1.3320.423,-3.873378104875805
1.3320.124,-4.8697874465049935
1.3320.250,-3.869573359073359
1.3320.86,-5.058031305903399
1.3320.438,-3.3275339805825244
1.3320.463,-3.456811374407583
1.3320.365,-3.9045848880597016
1.3320.291,-4.0150296296296295
1.3320.31,-6.005972346119536
1.3320.325,-4.190974193548388
1.3320.62,-5.323494495412844
1.3320.471,-2.774395424836601
1.3320.192,-4.620004476275739
1.3320.11,-6.767546468401487
1.3320.185,-4.696817194570136
1.3320.452,-3.8576559337626493
1.3320.399,-3.819197483059051
1.3320.167,-4.927042895442359
1.3320.282,-4.1275900735294115
1.3320.217,-4.023911214953271
1.3320.50,-5.307763228699551
1.3320.257,-3.515232971372162
1.3320.24,-6.2157898550724635
1.3320.84,-5.222490909090909
1.3320.242,-4.017276290630975
1.3320.100,-4.982712341197822
1.3320.142,-4.601807239819005
1.3320.341,-3.665999042145594
1.3320.186,-4.361207985143919
1.3320.181,-5.1144959128065395
1.3320.106,-4.866974475843208
1.3320.45,-6.439178349600709
1.3320.516,-2.967706190975866
1.3320.330,-3.999280303030303
1.3320.376,-3.3436868395773294
1.3320.41,-5.823218918918919
1.3320.223,-4.072603842634949
1.3320.28,-6.863289414414414
1.3320.229,-4.007922509225092
1.3320.305,-3.6113466019417473
1.3320.38,-5.811397321428571
1.3320.216,-4.333863428047662
1.3320.483,-2.8140918635170604
1.3320.412,-3.1971392649903283
1.3320.111,-5.1376857142857135
1.3320.53,-5.072398716773601
1.3320.517,-3.113866600790514
1.3320.74,-5.199329690346083
1.3320.344,-3.144305940594059
1.3320.342,-3.8610804263565894
1.3320.437,-3.9351213546566317
1.3320.439,-3.600851595006935
1.3320.367,-4.212555863342567
1.3320.107,-4.834948387096774
1.3320.450,-2.9723886597938143
1.3320.261,-3.929703358208955
1.3320.59,-6.185297491039426
1.3320.267,-3.97611839708561
1.3320.122,-4.900647593097184
1.3320.85,-5.233601277372263
1.3320.166,-4.825607111111111
1.3320.410,-3.272353585657371
1.3320.17,-6.474431597528685
1.3320.383,-3.0766990521327013
1.3320.66,-5.2326660714285715
1.3320.245,-4.182287011807448
1.3320.511,-2.8433100775193796
1.3320.386,-3.848358082706767
1.3320.262,-4.137829447852761
1.3320.464,-3.3896182692307693
1.3320.164,-4.741576502732241
1.3320.102,-5.074976427923843
1.3320.240,-4.298066115702479
1.3320.101,-4.9955685950413224
1.3320.413,-3.4050881355932203
1.3320.178,-5.024643626570915
1.3320.469,-3.5824333026678934
1.3320.21,-6.267482789855072
1.3320.128,-4.890574656188605
1.3320.277,-3.5344278002699054
1.3320.447,-3.5773140655105973
1.3320.507,-3.3367560975609756
1.3320.380,-3.704414084507042
1.3320.340,-4.145041782729805
1.3320.156,-4.377922574626865
1.3320.299,-4.228053456221199
1.3320.196,-4.658218525179857
1.3320.381,-3.2250489432703002
1.3320.40,-6.566701159678858
1.3320.118,-5.235166210045662
1.3320.52,-5.312885585585586
1.3320.212,-4.6543909348441925
1.3320.36,-6.643132606721163
1.3320.105,-5.062860465116279
1.3320.255,-4.333901268115942
1.3320.71,-6.134304189435337
1.3320.371,-4.3287491071428565
1.3320.97,-4.26908947368421
1.3320.127,-4.889597056117755
1.3320.329,-4.307961922030826
1.3320.131,-5.378629817444219
1.3320.224,-4.284067579908676
1.3320.172,-4.605532302092811
1.3320.75,-5.242077064220183
1.3320.201,-4.823913714804723
1.3320.55,-5.499316831683168
1.3320.402,-3.285619863013698
1.3320.99,-5.010174962292609
1.3320.315,-3.791672493100276
1.3320.199,-4.049704566635601
1.3320.65,-5.069656899810965
1.3320.350,-3.7037898148148147
1.3320.358,-4.2230438756855575
1.3320.153,-5.384394239423942
1.3320.221,-4.523641686182669
1.3320.372,-3.9110574162679423
1.3320.133,-4.865892014519056
1.3320.441,-3.598216014897579
1.3320.7,-8.64268115942029
1.3320.219,-3.656032196969697
1.3320.234,-4.215578754578755
1.3320.232,-3.473760591133005
1.3320.67,-5.305437837837838
1.3320.182,-4.525992760180995
1.3320.236,-3.75359204440333
1.3320.283,-3.684224058769513
1.3320.301,-4.0142476370510405
1.3320.496,-2.818385554425229
1.3320.504,-2.8790761194029852
1.3320.289,-4.3321533632287
1.3320.77,-5.123271455223881
1.3320.346,-3.507392307692308
1.3320.306,-4.324005446623094
1.3320.173,-4.379980806142035
1.3320.169,-4.869537567084079
1.3320.352,-3.2710471698113213
1.3320.109,-4.806194122885129
1.3320.149,-4.461974203338392
1.3320.268,-4.44958791704238
1.3320.500,-3.0825075075075072
1.3320.333,-3.5343210475266735
1.3320.248,-4.348306288032455
1.3320.140,-4.832913701067616
1.3320.490,-3.303850574712644
1.3320.228,-3.1587753906250002
1.3320.205,-4.48371778584392
1.3320.461,-3.55027512195122
1.3320.241,-4.435139726027398
1.3320.409,-4.547956398104265
1.3320.92,-5.426194156456173
1.3320.392,-3.7335068870523416
1.3320.280,-4.0189371257485025
1.3320.404,-3.527347014925373
1.3320.275,-4.031883152173913
1.3320.239,-4.524230627306273
1.3320.499,-2.962888217522659
1.3320.78,-5.274552320291174
1.3320.134,-5.395972752043597
1.3320.513,-2.9417042399172697
1.3320.63,-5.459167256637168
1.3320.271,-3.956184672206833
1.3320.144,-5.385117755289788
1.3320.19,-7.273989314336598
1.3320.58,-5.274811764705881
1.3320.43,-5.838521978021977
1.3320.251,-4.246880039331367
1.3320.8,-8.571837209302323
1.3320.426,-3.37120443101712
1.3320.249,-4.125629390018485
1.3320.233,-4.301754528985508
1.3320.465,-3.1422741596638653
1.3320.317,-4.142911926605504
1.3320.287,-4.3718494031221296
1.3320.35,-5.77424500907441
1.3320.123,-5.680429464285714
1.3320.114,-5.16266155234657
1.3320.202,-4.818267754318618
1.3320.188,-4.165939035486806
1.3320.451,-3.3005798644724105
1.3320.81,-5.128426774483379
1.3320.347,-3.8929465290806755
1.3320.435,-2.750984011627907
1.3320.126,-4.7647407407407405
1.3320.509,-3.4624354838709674
1.3320.179,-4.864903139013453
1.3320.361,-3.765571297148114
1.3320.32,-5.842806187443131
1.3320.424,-3.041952965235174
1.3320.120,-4.795373737373737
1.3320.284,-3.807127896200185
1.3320.190,-4.8933720238095235
1.3320.177,-4.935252204585539
1.3320.176,-4.97640795559667
1.3320.491,-2.419470930232558
1.3320.501,-3.015887887887888
1.3320.49,-5.393558715596329
1.3320.226,-4.566804967801288
1.3320.468,-3.6470761994355594
1.3320.295,-4.213079816513761
1.3320.335,-3.5783278955954327
1.3320.39,-5.652026411657559
1.3320.363,-3.718475442043222
1.3320.220,-4.337591738712776
1.3320.338,-3.7715491493383744
1.3320.154,-4.430666361136572
1.3320.476,-3.4959228571428573
1.3320.79,-6.025439177101967
1.3320.349,-3.946736793327155
1.3320.91,-5.01176669716377
1.3320.478,-3.449747011952191
1.3320.440,-3.183649903288201
1.3320.279,-4.079611161939616
1.3320.227,-4.351134369287021
1.3320.293,-4.214219378427788
1.3320.470,-3.755933270676692
1.3320.493,-3.213023460410557
1.3320.231,-4.342328532853284
1.3320.394,-3.764983501374885
1.3320.130,-4.984587867975022
1.3320.57,-6.140848404255319
1.3320.191,-4.576959585492228
1.3320.68,-5.245796805678794
1.3320.408,-3.6114011516314783
1.3320.316,-3.8861388101983008
1.3320.377,-3.0095051369863017
1.3320.327,-4.07297942001871
1.3320.302,-4.221794366197184
1.3320.455,-3.275230769230769
1.3320.132,-4.701716499544212
1.3320.211,-4.390000916590284
1.3320.30,-5.893320249776985
1.3320.368,-3.7719543336439885
1.3320.193,-4.778966606498194
1.3320.29,-6.821729222520108
1.3320.477,-2.6241255656108597
1.3320.95,-5.231643823264202
1.3320.334,-3.7276061204343534
1.3320.33,-5.770471162377994
1.3320.69,-5.407753818508535
1.3320.243,-4.383953211009175
1.3320.494,-2.769997920997921
1.3320.448,-3.201808988764045
1.3320.309,-3.9153552014995316
1.3320.256,-4.249401529636711
1.3320.121,-5.5727695852534564
1.3320.143,-4.910554821664465
1.3320.258,-2.8715365853658534
1.3320.6,-8.740682859761687
1.3320.370,-4.02427813357731
1.3320.96,-5.167209944751382
1.3320.159,-4.548530875576037
1.3320.296,-3.909845161290323
1.3320.422,-3.2024586826347305
1.3320.34,-5.843950774840474
1.3320.324,-4.051466421343146
1.3320.145,-5.4358635547576295
1.3320.495,-2.7439709821428573
1.3320.357,-3.655986615678776
1.3320.174,-4.507766599597586
1.3320.207,-4.176562676720076
1.3320.323,-3.9172095435684646
1.3320.395,-3.408298464491363
1.3320.187,-4.297166826462129
1.3320.10,-7.650423007246378
1.3320.162,-5.0146298394711994
1.3320.14,-6.627535876475931
1.3320.247,-4.257607949412828
1.3320.482,-3.188454647256439
1.3320.147,-4.9641560283687935
1.3320.360,-4.1869116575591985
1.3320.70,-5.321190134529148
1.3320.16,-7.558711590296497
1.3320.235,-4.501725126475549
1.3320.443,-3.497465402843602
1.3320.209,-4.036585457979226
1.3320.308,-2.7902552552552553
1.3320.272,-3.964016497461929
1.3320.348,-3.9303476277372265
1.3320.42,-5.564146953405018
1.3320.278,-4.482463611859838
1.3320.462,-3.591333984375
1.3320.184,-4.748188608776844
1.3320.445,-3.7944600760456275
1.3320.337,-3.619466472303207
1.3320.117,-4.856402071563088
1.3320.23,-6.139256317689531
1.3320.175,-5.053680555555556
1.3320.125,-5.591099074074075
1.3320.13,-6.638641275465013
1.3320.254,-4.242926563916591
1.3320.434,-3.7447248576850094
1.3320.286,-4.351968134957826
1.3320.146,-4.9003579136690645
1.3320.508,-2.79250233281493
1.3320.161,-4.649445065176908
1.3320.138,-4.8691953125
1.3320.421,-3.60516320754717
1.3320.113,-4.898658947368421
1.3320.80,-5.210309325946445
1.3320.273,-4.311201298701299
1.3320.298,-4.338040540540541
1.3320.200,-4.112204467353951
1.3320.82,-5.700978062157221
1.3320.15,-6.771755555555556
1.3320.281,-3.5166887052341598
1.3320.222,-4.667476061427282
1.3320.93,-4.982020909090909
1.3320.163,-4.8450766456266905
1.3320.47,-6.234311926605504
1.3320.276,-4.129073461891643
1.3320.204,-4.871958510638298
1.3320.54,-5.517892433910666
1.3320.260,-4.298607272727272
1.3320.44,-6.460086355785838
1.3320.64,-5.275369109947644
1.3320.108,-4.988996323529412
1.3320.364,-2.787843626806833
1.3320.353,-4.176496226415094
1.3320.354,-3.2586437007874016
1.3320.373,-3.694344066237351
1.3320.359,-3.508524929444967
1.3320.297,-4.280174676524953
1.3320.503,-3.0450757420675534
1.3320.139,-5.30454486586494
1.3320.210,-4.6194515845070425
1.3320.9,-7.552325750682438
1.3320.497,-3.0488199152542377
1.3320.312,-3.546845650140318
1.3320.155,-4.58715541740675
1.3320.225,-3.6998409961685823
1.3320.332,-3.817618217054264
1.3320.428,-3.6618133086876155
1.3320.110,-4.861159961685823
1.3320.215,-4.748668488160292
1.3320.218,-3.7873099999999997
1.3320.307,-3.7926787372330546
1.3320.310,-4.244598330241187
1.3320.26,-6.053000862068966
1.3320.37,-5.794760389036251
1.3320.321,-3.6699708920187795
1.3320.427,-3.4571068702290075
