Time,Magnitude,Error
0,14.418,0.073
0.7048,14.404,0.077
0.7318,14.351,0.088
0.0359,14.413,0.045
0.0031,14.421,0.083
0.6555,14.406,0.121
0.5115,14.313,0.102
0.8136,14.478,0.127
0.048,14.331,0.091
0.0191,14.344,0.115
0.4936,14.297,0.144
0.5185,14.383,0.09
