2449343.81	11.879	0.015	0.191
2449760.62	11.926	0.027	0.925
2449962.84	12.039	0.051	0.411
2449963.84	12.072	0.043	0.473
2449967.84	12.060	0.041	0.720
2449997.85	12.156	0.036	0.573
2449998.85	12.175	0.032	0.634
2450005.80	11.857	0.042	0.063
2450033.75	11.967	0.034	0.789
2450034.76	11.926	0.031	0.851
2450055.84	11.858	0.017	0.153
2450058.68	11.973	0.045	0.328
2450061.80	12.123	0.027	0.520
2450067.76	11.932	0.034	0.888
2450085.81	11.887	0.024	0.003
2450087.86	11.860	0.033	0.130
2450376.83	11.922	0.025	0.971
2450377.79	11.882	0.024	0.030
2450377.83	11.863	0.038	0.032
2450389.79	12.051	0.023	0.771
2450408.80	11.947	0.022	0.945
2450416.83	12.001	0.022	0.441
