10.2748,5.682,0.008
10.2781,5.698,0.006
10.2821,5.725,0.006
10.2968,5.662,0.006
10.2995,5.669,0.005
10.3029,5.671,0.006
11.2518,5.653,0.005
11.255,5.649,0.006
11.2591,5.655,0.005
11.2729,5.639,0.005
11.2763,5.641,0.005
11.2788,5.641,0.005
11.3002,5.64,0.005
11.304,5.64,0.005
11.3089,5.639,0.005
11.3119,5.641,0.006
11.3158,5.638,0.005
11.32,5.639,0.009
12.2728,5.672,0.004
12.2783,5.657,0.004
12.2843,5.655,0.004
12.2969,5.642,0.005
12.3001,5.647,0.003
12.3038,5.64,0.004
12.3138,5.636,0.003
12.3182,5.636,0.007
12.3219,5.634,0.003
13.259,5.628,0.006
13.2633,5.631,0.006
13.2858,5.625,0.005
13.2898,5.636,0.013
13.3166,5.629,0.006
13.3199,5.627,0.006
15.2702,5.627,0.002
15.2733,5.635,0.003
15.2763,5.645,0.021
20.2728,5.637,0.006
20.277,5.641,0.006
20.2797,5.642,0.007
20.2822,5.648,0.007
20.2852,5.649,0.007
20.288,5.629,0.008
