54124.424711 15.1399 0.059
54054.494482 15.1438 0.058
54110.406462 15.1099 0.059
54124.416318 15.1152 0.058
54110.413657 15.1449 0.059
54110.420894 15.1277 0.059
54124.407971 15.1375 0.059
54124.399545 15.1132 0.058
54110.399324 15.1396 0.059
54054.500611 15.1509 0.058
53886.186043 15.0622 0.060
53843.182883 15.1061 0.060
53903.173408 15.059 0.089
53874.175970 15.1119 0.060
53874.196825 15.1138 0.060
53843.191009 15.1199 0.060
53886.176688 15.0764 0.060
53874.182930 15.0833 0.060
53874.189866 15.0847 0.060
53843.174817 15.1462 0.060
53886.167343 15.088 0.060
53886.157978 15.1129 0.060
53827.202977 15.1252 0.059
53827.197423 15.0846 0.059
53843.166775 15.1273 0.060
53827.208362 15.1132 0.059
53786.259180 15.0919 0.059
53817.184177 15.1014 0.059
53817.167090 15.119 0.059
53817.192747 15.0942 0.059
53827.213808 15.1075 0.059
53817.175627 15.0924 0.059
53527.177869 15.1246 0.060
53671.469443 15.0783 0.062
53500.171168 15.0977 0.059
53527.164836 15.1137 0.060
53500.194175 15.095 0.059
53671.478186 15.0999 0.059
53527.171352 15.1044 0.060
53500.186494 15.0966 0.059
53527.158311 15.1089 0.059
53500.178829 15.1276 0.059
53671.473767 15.1305 0.062
53728.395629 15.0866 0.060
53704.441894 15.1027 0.059
53677.465002 15.2513 0.075
53728.413835 15.114 0.060
53677.471798 15.1204 0.064
53704.434792 15.1031 0.059
53704.456118 15.1108 0.059
53671.482579 15.0597 0.060
53677.485423 15.072 0.063
53677.478622 15.1059 0.060
53704.448989 15.104 0.059
53728.404692 15.1072 0.060
53755.362422 15.137 0.059
53755.280437 15.1141 0.059
53755.348337 15.1244 0.059
53786.243766 15.1173 0.059
53755.301281 15.105 0.064
53728.422900 15.1153 0.060
53786.236054 15.1174 0.059
53786.251486 15.1197 0.059
53755.294351 15.1508 0.060
53755.369503 15.1204 0.059
53755.355368 15.0966 0.059
53755.287393 15.1372 0.059
54027.514472 15.1198 0.058
54054.488413 15.1227 0.058
54028.482720 15.1186 0.059
54027.517784 15.1251 0.058
53903.175421 15.1553 0.091
54028.491973 15.1184 0.059
54028.464250 15.1136 0.059
54028.473475 15.1416 0.059
53903.174425 15.0861 0.089
54027.511159 15.1385 0.058
54054.482432 15.1005 0.058
54027.521118 15.0808 0.058
53903.176417 15.0944 0.090
54887.329018 15.1459 0.059
54887.318193 15.1343 0.059
54867.304928 15.0602 0.060
54905.210920 15.1763 0.059
54887.323600 15.0905 0.058
54867.287150 15.1235 0.060
54867.293129 15.1185 0.060
54867.299137 15.1458 0.060
54887.312854 15.0937 0.059
54591.155310 15.0854 0.059
54764.505332 15.0983 0.059
54630.158329 15.1455 0.063
54630.172237 15.0979 0.063
54764.500321 15.0634 0.059
54764.490236 15.0727 0.059
54630.167611 15.1148 0.063
54591.149382 15.1191 0.059
54764.495234 15.1504 0.059
54630.162960 15.1038 0.062
54771.473991 15.0901 0.059
54859.279982 15.1564 0.058
54859.266316 15.0915 0.058
54771.488936 15.0917 0.059
54771.478934 15.0811 0.059
54777.520725 15.0593 0.058
54859.286782 15.1578 0.058
54771.483979 15.1522 0.059
54777.509023 15.0888 0.058
54777.497193 15.0869 0.058
54859.273223 15.1683 0.058
54777.485203 15.1126 0.058
54938.176011 15.088 0.059
54905.227185 15.1584 0.059
54922.271010 15.1189 0.059
54922.279205 15.1178 0.059
54922.287272 15.1466 0.059
