,Amplitude,AndersonDarling,Autocor_length,Automean,Beyond1Std,CAR_sigma,CAR_tau,CAR_tmean,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL
1.3562.12,0.25900000000000034,1.0,1.0,-9.189601185436077,0.3632514817950889,-0.16347130525780107,2.0955472760600338,-4.385298909941086,0.2778769486747077,0.0,219.8032677154252,8.003559877807218,0.26399999999999935,0.4700000000000024,0.6780000000000008,0.8239999999999981,0.9299999999999997,0.24023696920302173,0.041970859767773365,0.021287745230195478,0.013890156655069676,0.0,0.7336918498803799,1.523601264083509,0.7458683215755485,0.016706755938772872,0.0010811357822834466,0.00024002060637617873,0.0027135911956403936,0.0,-0.9355528165332361,0.04576650771170665,-1.75536762086686,0.014465888993819237,0.0013036063001960134,0.0036610930310222414,0.0024150344042155243,0.0,0.354204295262731,-0.2756133945846807,-0.5822834850616054,1.0874736585519204e-06,3.522504893581234,-9.189601185436077,-0.019058478466601164,0.15199999999999925,0.21253175275190517,0.1,-0.04544468546637749,-0.054229934924078085,8.403851166666653,2.5188006869041317e-235,0.23883083509854047,0.04703871891447029,0.3390000000000004,0.1169999999999991,0.03571749965318673,0.3110634141632203,1.3787020000454504,-1.3149558523993068,0.17513981630928602,0.8667458790860963,0.8841034483022286,0.8739955072671814,0.8303085756686818
1.3683.25,0.20374999999999943,1.0,1.0,-8.505859430604975,0.4377224199288256,-0.35001560453906355,0.3055048619249955,-27.841977299507754,0.08283229871833164,0.0,456.7059855179731,35.96382065698462,0.31313131313130943,0.5176767676767668,0.7146464646464619,0.8484848484848475,0.9494949494949462,0.19620322975211257,0.030202144745497348,0.0064430174666376345,0.007841612677444858,0.0,0.29671269773484743,0.2926136633590747,0.32994374825450035,0.00900798154760515,0.0004185765574201001,0.0002725330118111238,0.0016176081181063283,0.0,-1.7129114270373234,-0.854888487433324,-2.2057183158831815,0.006994017289460962,0.0005865053653249185,0.0009784682191171946,0.00044522884877562524,0.0,-1.5300953213286705,-1.719591816053398,0.6217173712849818,-3.4752278899406733e-06,5.968688843207846,-8.505859430604975,-0.01662319941178627,0.14099999999999824,0.15747330960854092,0.23333333333333334,-0.02999294283697963,-0.0465772759350742,2.151598402212561,2.3830495277220037e-232,0.23310929548746956,0.024802261155047297,0.2829999999999995,0.08950000000000014,0.027767955584032646,-0.02911652964850789,0.4116680000151973,-1.4776737725756945,0.1413945974835693,0.8840086789798886,0.8993570622415767,0.8826339938458042,0.8879598434056408
2.5751.44,0.6292499999999999,1.0,1.0,-7.4248881516587755,0.390521327014218,0.8947385015140603,0.2889502665039765,-25.696076496114237,0.4839043384598005,0.0,67.17193412153664,32.21992199864289,0.17268722466960396,0.29691629955947096,0.4466960352422902,0.6202643171806169,0.8167400881057268,0.39570398044341626,0.18494369075472014,0.10514922387636308,0.05163117410076284,0.0,-0.8523351536095527,1.5169327035981484,0.532041002448695,0.11323312707888546,0.04414472024340537,0.036452775478346626,0.009449299584986191,0.0,1.9197442143140886,1.0794537251434948,1.7324177289132379,0.03783403903688633,0.025019614474350613,0.015789058982842344,0.005424679168146148,0.0,1.97732042950405,1.0213870393303426,0.3727639881349889,-6.894957095314747e-08,13.140233135844289,-7.4248881516587755,-0.04644502461466517,0.22800000000000065,0.3127962085308057,0.23333333333333334,-0.1115489130434781,-0.15421195652173922,3.029888073496658,4.083920514296703e-145,0.20903939301994068,0.3057929530866396,0.5069999999999997,0.21999999999999886,0.03336173563988838,-0.3826622669500405,0.38740799999504816,-0.7392234289120037,0.3448491129649276,0.7845937824299974,0.8343446970453909,0.8484448949632667,0.6799600207637801
1.4294.36,0.3989999999999996,1.0,1.0,-8.255366086956528,0.46608695652173915,-0.48739298034927836,0.5142901396000518,-16.051962601064997,0.14823443751899923,0.0,113.07236495753922,23.33751528094468,0.21846553966189758,0.3940182054616372,0.5682704811443448,0.7308192457737324,0.911573472041613,0.3208491983697357,0.14399201551722948,0.08484526655974224,0.0506326818570658,0.0,-0.3831331354279274,-0.6059733426434051,-1.1099563666775643,0.019403905192952382,0.0012835332109836816,0.0025747195676114882,0.00033063163666340094,0.0,1.6128084614929024,-0.24701719845246606,1.440564404020532,0.01386102601653981,0.005671533512211778,0.0015997218640416576,0.0003875147535726246,0.0,-0.5232493832785365,-0.4758405631821223,-2.9393730085875784,-1.357178639747015e-05,9.235505384513992,-8.255366086956528,-0.03077865959399124,0.1894999999999989,0.2817391304347826,-0.1,-0.07759936504060083,-0.09390072654008184,3.7112872939572865,3.369890863852148e-190,0.21933050767654988,0.02018628740813964,0.43675000000000175,0.11100000000000065,0.029688625234447125,-0.49021887434700295,0.4923640000051819,-1.0347511066492432,0.25408910261421447,0.8580142309360657,0.8656686041515659,0.8694940691793189,0.7814345670890517
1.3686.7,0.5149999999999997,1.0,2.0,-10.058588444444437,0.4186666666666667,0.22602861552649461,4.094035644242646,-2.4568883416024025,0.3562097206931938,0.0,150.34024799597105,9.143629597017796,0.299502487562189,0.45671641791044704,0.5890547263681593,0.7850746268656708,0.9353233830845759,0.4464961246774788,0.1409266402791393,0.056619761812361245,0.05749340457211567,0.0,1.3619018865908004,2.127604810408409,2.614559938172965,0.0490921476130854,0.011218169198062369,0.007437618539395166,0.0030795721295390904,0.0,1.1822211423460367,0.8472337127192334,-0.7718020496641098,0.03969788344107616,0.0053121609292434155,0.006333303789088405,0.004372699933371733,0.0,-2.136938876999422,-1.928047821878855,-0.5596865164739726,1.7051204087507517e-05,8.444598117150315,-10.058588444444437,-0.033731009703345416,0.2989999999999995,0.14133333333333334,0.16666666666666666,-0.06417806168280274,-0.10030941211697782,17.52274886909868,1.743445485298095e-207,0.22922409147348635,0.04654661682327586,0.5920000000000005,0.22250000000000014,0.05481166596754101,-0.16587822696308682,2.6319360000779852,-1.3395526371801758,0.3392863444215134,0.873338909842279,0.8904568580914479,0.8815555066221589,0.8783568874748157
2.4662.12,0.3120000000000003,1.0,1.0,-8.3333227315248,0.44059869036482696,0.3846904968781928,0.5171246064769425,-16.114728688502982,0.297520955849949,0.0,324.78775812141157,12.554297530564833,0.2129783693843593,0.3760399334442575,0.5790349417637275,0.7620632279534102,0.9168053244592336,0.25308203043572547,0.09770030148022274,0.03358544050797658,0.011355405979118547,0.0,-0.1774682208046511,-0.8667845236280741,0.24785843687093115,0.028812030062134876,0.002537269015541717,0.0023043959642095988,0.0015320990772470808,0.0,0.6133417845257552,1.6409969956359003,2.286112967985665,0.023864358199791814,0.006220069031234131,0.004494478947391666,0.0007969637130767492,0.0,0.34768135168256664,0.6340639198586663,-0.43806555688010107,-9.780557221324543e-07,3.747254166922534,-8.3333227315248,-0.023736237821382646,0.16900000000000048,0.3030869971936389,-0.03333333333333333,-0.07057833353372607,-0.07226163280028867,4.93501721281741,1.6179551961476985e-186,0.22495289696189136,0.10743977742084077,0.34800000000000075,0.11249999999999982,0.020069974043290063,-0.17835346357476506,0.7225350000007893,-1.143897245475417,0.19780173019780672,0.8402194136871047,0.8619790975665073,0.8783756490790312,0.7863521234486444
1.4415.55,0.15724999999999945,1.0,1.0,-7.39922409211692,0.4348981399468556,0.28844598632544616,0.23472072813847733,-31.52352223341616,0.27677590788307604,0.0,3366.445416637461,290.78399180803865,0.2718120805369111,0.4597315436241596,0.6208053691275154,0.7751677852348988,0.9026845637583896,0.13815453154032054,0.013946276675814117,0.009421734506764076,0.006487053070090345,0.0,1.7662621027550318,0.606741871072806,0.18661183500256784,0.008605185718413316,0.004266108686953204,0.002009040389337397,0.002808310573860851,0.0,-1.7033315460837337,-1.034790698410879,-0.2442249215757517,0.008559756260185713,0.0009794774948007872,0.001698623290758194,0.0010905969510263303,0.0,0.38651084880979075,-0.7585027131167634,0.8968264402275099,4.650654173943128e-06,11.896795295906065,-7.39922409211692,-0.01393111621751721,0.09100000000000019,0.4526129317980514,-0.1,-0.06564699512723339,-0.04033567948023823,1.8362466750590059,4.478742802493847e-210,0.22647251578506086,0.22547109654624747,0.1849999999999996,0.0625,0.0462103555538945,-0.04299258733544337,0.3226710000089952,-0.7218411501280455,0.10307945074673407,0.7913415780017632,0.8760286651890856,0.8832623959676265,0.7085080799982008
1.4296.70,0.11450000000000005,1.0,1.0,-7.581766974015084,0.4165968147527242,-0.208294840037236,0.21392415738610357,-35.441378227943844,0.16199278829393116,0.0,1718.4266768345249,617.0296381003454,0.27403846153845884,0.46153846153846156,0.6009615384615379,0.7307692307692307,0.8750000000000011,0.09407682526796328,0.008933315168348336,0.003103848851275171,0.0027249533002032264,0.0,1.094486291061169,2.3283152893023447,0.6648109089262568,0.00795547071617985,0.000923417801989142,0.0006348828498635472,0.002282623905304852,0.0,0.09965845497582615,-1.9661534638994655,-0.053636242598618544,0.006890343019463251,0.005559676114664633,0.0032851222008316726,0.005188371372773665,0.0,1.651248158218452,-0.44839925875118203,1.459336731180867,-3.3428345173368575e-06,19.183582414648512,-7.581766974015084,-0.009393695081473107,0.06299999999999972,0.3956412405699916,0.1,-0.044464968993270966,-0.027444253859348223,1.466130006999908,1.2837056284376566e-220,0.23568379168911766,0.233356412399941,0.125,0.04475000000000007,0.04822210596644911,-0.1570988348798996,0.32135399999970105,-0.728740446712691,0.07122080713268072,0.7952125538399303,0.870312948416172,0.8854389071429236,0.6843286750888158
1.4417.13,0.4574999999999996,1.0,1.0,-8.37484505862645,0.44137353433835846,0.49445910973780904,0.6247301689787643,-13.40553966253409,0.19238007226360487,0.0,324.16958842741667,12.925877817010939,0.21768707482993224,0.37868480725623554,0.5464852607709765,0.7437641723356019,0.9047619047619051,0.3540171519942148,0.15581520512670058,0.08445799429628974,0.06196671581045622,0.0,-2.533076929975098,-1.861111945376516,-1.4336980921731084,0.024202742996005278,0.002892094319432814,0.005043860171066081,0.003982715771693374,0.0,0.2789996788629212,-0.02073134950772182,-0.42546036335232673,0.022689933222502904,0.002456297520919325,0.0006983301593008991,0.0011329855034113488,0.0,-2.082840604145866,0.3803206658377889,0.05466739569979284,1.1172760248995079e-05,4.246750869019195,-8.37484505862645,-0.034220972727799726,0.2265000000000006,0.2169179229480737,0.03333333333333333,-0.0779127089094625,-0.10604785379343509,4.204088180133807,3.040065683691058e-196,0.22274447444329448,0.021568760600979533,0.4815000000000005,0.1592500000000001,0.02507822688688956,-0.36279430409818375,0.6427079999994021,-1.1191852919801706,0.286595344350804,0.8615772518334489,0.8672542431430006,0.8870741900488083,0.8017900262882536
1.3451.9,0.27999999999999936,1.0,1.0,-8.31572735191636,0.44947735191637633,-0.28542453733805906,0.7684625871131956,-10.821252057507703,0.2718892578674801,0.0,81.23998760246197,12.561221074791124,0.2357274401473294,0.4290976058931862,0.6077348066298333,0.7734806629834238,0.9244935543278079,0.2396761870977384,0.0881793498028969,0.02328342981630126,0.015458679785381981,0.0,-0.46014993398486204,-0.7324548866758549,1.3782231775872733,0.014143927095050728,0.0037721248283209704,0.0032923818710032947,0.0011427287730670177,0.0,1.542870774870085,2.1135603223094006,2.012674488287677,0.009992767771072589,0.002525935054989472,0.0014492907536851865,0.002134420634901185,0.0,-0.8824152668850583,-2.267573077493048,-0.29598317075317243,-4.233299932267065e-06,3.7655200511247813,-8.31572735191636,-0.021964739464589683,0.15700000000000003,0.2578397212543554,0.1,-0.053292292836019224,-0.06554408835777668,4.580497989839118,1.7456248154590395e-210,0.23240760057208648,0.03204130772465407,0.33000000000000007,0.1042500000000004,0.04351645758354403,-0.2294594851655406,0.49648400000296533,-1.243697296129107,0.18265278474340513,0.8222927774138372,0.8781272535305845,0.8753950301344446,0.7746180306191321
